path,prompt,short_prompt,labels,image_1_caption,image_2_caption,image_3_caption,resolution,aspect_ratio,fps,duration
clips/A beautyful girl.mp4,"People: woman. Objects: dress, table, windows, brick wall, furniture. Actions: walking, holding. Emotions: confidence, elegance, serenity. Scenes: interior, modern, modern room, dining room, modern interior. Concepts: fashion, elegance, style, grace, sophistication","People: woman. Objects: dress, table, windows, brick wall, furniture. Actions: walking, holding. Emo...","woman, dress, table, windows, brick wall, furniture, walking, holding, confidence, elegance, serenity, interior, modern, modern room, dining room, modern interior, fashion, elegance, style, grace, sophistication",A woman in a black lace dress walks confidently in a modern interior space. She is positioned against a backdrop of exposed brick walls and contemporary furnishings.,"A woman in a stylish black lace dress walks confidently through a modern, elegant room. Large windows on the right provide ample natural light, highlighting the room's sleek design and decor.","A woman in a black lace dress walks gracefully through a modern dining area. She holds a small flower in her hand, adding a touch of elegance to the scene.",720x1280,9:16,30.0,10s
clips/A boy saves a fish.mp4,"People: boy. Animals: fish. Nature: water, plants, aquatic plants. Actions: holding, underwater. Emotions: curiosity, calm, wonder. Scenes: underwater. Concepts: interaction, serenity, innocence, adventure","People: boy. Animals: fish. Nature: water, plants, aquatic plants. Actions: holding, underwater. Emo...","boy, fish, water, plants, aquatic plants, holding, underwater, curiosity, calm, wonder, underwater, interaction, serenity, innocence, adventure","A young boy with bright eyes is underwater, gently holding a vibrant orange fish. The scene is serene, with light filtering through the water, creating a magical atmosphere.","A young boy with bright eyes is underwater, gently holding a vibrant orange fish. The scene is set in a serene aquatic environment with soft light filtering through the water.",,768x1152,2:3,30.0,5s
clips/1.mp4,"People: woman. Objects: necklace, earrings, satin dress, dress. Emotions: happiness, confidence. Scenes: portrait, fashion. Concepts: elegance, vintage style, glamour","People: woman. Objects: necklace, earrings, satin dress, dress. Emotions: happiness, confidence. Sce...","woman, necklace, earrings, satin dress, dress, happiness, confidence, portrait, fashion, elegance, vintage style, glamour","A woman with elegant, curled hair and bright red lipstick smiles softly. She is wearing a luxurious yellow satin dress and a statement necklace with colorful gemstones.",A woman with elegant curls and bright red lipstick smiles warmly at the camera. She is wearing a luxurious yellow dress and a statement necklace with colorful gemstones.,,800x1088,25:34,30.0,5s
clips/3D fractal zoom.mp4,"Objects: vortex, sphere, organic structure, spherical object, bubbles. Actions: swirling, reflecting, splashing. Emotions: mysterious, intriguing, wonder, dynamic, energetic. Scenes: abstract, cosmic, microscopic, fantastical, close-up. Concepts: complexity, depth, movement, mystery, otherworldly. Nature: coral-like structures","Objects: vortex, sphere, organic structure, spherical object, bubbles. Actions: swirling, reflecting...","vortex, sphere, organic structure, spherical object, bubbles, swirling, reflecting, splashing, mysterious, intriguing, wonder, dynamic, energetic, abstract, cosmic, microscopic, fantastical, close-up, complexity, depth, movement, mystery, otherworldly, coral-like structures","An intricate, abstract scene depicts a swirling, organic structure surrounding a central, eye-like sphere. The composition features a blend of creamy and metallic textures, with light reflecting off the surfaces, creating a sense of depth and movement. The scene evokes a cosmic or microscopic environment, rich in detail and complexity.","The image depicts an intricate, abstract scene resembling a swirling vortex surrounded by organic, coral-like structures. The central focus is a luminous, spherical object with a textured surface, emitting a warm, golden glow. The surrounding formations are complex, with a mix of smooth and bubbly textures, creating a sense of depth and movement.","The image depicts a swirling vortex of golden liquid, resembling a whirlpool. The central spiral is surrounded by dynamic splashes and bubbles, creating a sense of motion and energy.",992x2048,31:64,30.0,10s
clips/a bear in New York.mp4,"Animals: bear. Objects: taxi, skyscrapers, cars, buildings. Actions: roaring, striding, walking. Emotions: chaos, urgency, awe, fear. Scenes: urban, city street. Concepts: surreal, giant creature, giant","Animals: bear. Objects: taxi, skyscrapers, cars, buildings. Actions: roaring, striding, walking. Emo...","bear, taxi, skyscrapers, cars, buildings, roaring, striding, walking, chaos, urgency, awe, fear, urban, city street, surreal, giant creature, giant","A colossal bear towers over a city street, its mouth open in a roar as it strides between skyscrapers. Below, a yellow taxi speeds away, highlighting the surreal scale of the creature against the urban backdrop.","A gigantic bear towers over a city street, dwarfing the surrounding skyscrapers and vehicles. The scene captures the bear mid-stride, its massive paws dominating the foreground as cars appear tiny in comparison.",,800x1088,25:34,30.0,5s
clips/1965 Lake Como.mp4,"People: man. Nature: lake, mountains, sky. Objects: table, plate, glass, hat, suit. Actions: sitting. Emotions: contentment. Scenes: outdoor dining, scenic view. Concepts: elegance, relaxation, leisure","People: man. Nature: lake, mountains, sky. Objects: table, plate, glass, hat, suit. Actions: sitting...","man, lake, mountains, sky, table, plate, glass, hat, suit, sitting, contentment, outdoor dining, scenic view, elegance, relaxation, leisure","A man in a suit and hat sits at an outdoor restaurant table overlooking a scenic lake. The background features lush green mountains and a clear blue sky, creating a serene atmosphere.","A man in a suit and hat sits at an outdoor table overlooking a scenic lake and mountains. The table is set with plates and a glass of iced tea, suggesting a leisurely meal in a picturesque setting.",,1080x1920,9:16,30.0,5s
clips/“Rockstar Cat on a Concert Stage.mp4,"Animals: cat. Objects: guitar, leather jacket, electric guitar, phones, stage. Actions: playing guitar, performing, taking photos. Emotions: energetic, rebellious, excitement, enthusiasm. Scenes: concert, stage, live performance. Concepts: anthropomorphism, rock music, surrealism, entertainment. People: musician, audience","Animals: cat. Objects: guitar, leather jacket, electric guitar, phones, stage. Actions: playing guit...","cat, guitar, leather jacket, electric guitar, phones, stage, playing guitar, performing, taking photos, energetic, rebellious, excitement, enthusiasm, concert, stage, live performance, anthropomorphism, rock music, surrealism, entertainment, musician, audience","A cat dressed as a rock star stands on stage, gripping an electric guitar. The feline wears a spiked leather jacket, exuding a rebellious and energetic vibe.","A musician with a cat's head is energetically playing an electric guitar on stage. The audience is captivated, with many people holding up their phones to capture the performance. The scene is illuminated by dramatic stage lighting, creating a vibrant and lively atmosphere.",,1088x1888,34:59,30.0,5s
clips/A delighted child enjoys the mom.mp4,"People: baby. Animals: goose. Nature: water, sunlight, sunset. Actions: riding, splashing, laughing, smiling. Emotions: joy, happiness, joyful, happy. Scenes: whimsical, surreal, outdoor, playful, nature. Concepts: playfulness, innocence, fantasy, delight","People: baby. Animals: goose. Nature: water, sunlight, sunset. Actions: riding, splashing, laughing,...","baby, goose, water, sunlight, sunset, riding, splashing, laughing, smiling, joy, happiness, joyful, happy, whimsical, surreal, outdoor, playful, nature, playfulness, innocence, fantasy, delight","A joyful baby is sitting on the back of a large goose, splashing through the water. The scene is illuminated by warm, golden light, creating a magical and whimsical atmosphere.","A joyful baby is sitting on the back of a large goose, laughing with delight. The scene is set against a warm, glowing background, suggesting a sunny day near a body of water.","A joyful baby is sitting on the back of a large goose, smiling widely as the sun sets in the background. The scene is filled with warmth and happiness, capturing a whimsical moment in nature.",704x1248,22:39,30.0,10s
clips/A cutie wet bunny 🐇.mp4,"Animals: rabbit. Nature: sunflower, leaf, rain, raindrops. Objects: flower, water droplets, leaf. Actions: sitting, sheltering, holding. Emotions: serene, calm, whimsical, content. Scenes: rainy, natural, outdoor. Concepts: protection, innocence, nature, whimsy","Animals: rabbit. Nature: sunflower, leaf, rain, raindrops. Objects: flower, water droplets, leaf. Ac...","rabbit, sunflower, leaf, rain, raindrops, flower, water droplets, leaf, sitting, sheltering, holding, serene, calm, whimsical, content, rainy, natural, outdoor, protection, innocence, nature, whimsy","A small rabbit sits on a large leaf, holding a sunflower above its head as a makeshift umbrella. Raindrops fall around, creating a serene and whimsical atmosphere. The background is softly blurred with warm glowing lights.","A small rabbit sits under a large sunflower, using it as an umbrella to shield itself from the rain. The scene is set in a rainy environment with water droplets visible on the sunflower petals.","A small rabbit sits under a large sunflower, using it as an umbrella during a gentle rain. The sunflower's petals are adorned with raindrops, and the rabbit clutches the stem with its paws, creating a charming and whimsical scene.",1080x1920,9:16,30.0,10s
clips/A cat driving a sports car.mp4,"Animals: cat. Objects: car, sunglasses, cap, steering wheel. Actions: driving. Emotions: whimsical, adventurous, relaxed. Scenes: sunset, road trip. Concepts: humor, imagination, anthropomorphism","Animals: cat. Objects: car, sunglasses, cap, steering wheel. Actions: driving. Emotions: whimsical, ...","cat, car, sunglasses, cap, steering wheel, driving, whimsical, adventurous, relaxed, sunset, road trip, humor, imagination, anthropomorphism","A cat wearing sunglasses and a cap is sitting in a car, gripping the steering wheel. The scene is set against a vibrant sunset sky, creating a whimsical and adventurous atmosphere.","A cat wearing sunglasses and a cap is sitting in a car, appearing to drive. The scene is set against a warm, glowing sunset sky, creating a relaxed and whimsical atmosphere.",,1080x1920,9:16,30.0,5s
clips/A fluffy baby.mp4,"Animals: lamb. Nature: snow, winter, field. Objects: snowflakes. Emotions: serene, peaceful, serenity, peacefulness. Scenes: outdoor, winter landscape, winter, outdoors. Concepts: innocence, tranquility. Actions: standing","Animals: lamb. Nature: snow, winter, field. Objects: snowflakes. Emotions: serene, peaceful, serenit...","lamb, snow, winter, field, snowflakes, serene, peaceful, serenity, peacefulness, outdoor, winter landscape, winter, outdoors, innocence, tranquility, standing","A young lamb stands in a snowy field, its wooly coat dusted with snowflakes. The soft, diffused lighting creates a serene and peaceful atmosphere, highlighting the lamb's gentle expression.","A young lamb stands in a snowy field, its wool covered with a light dusting of snowflakes. The soft focus background and gentle snowfall create a serene and peaceful atmosphere.",,720x1280,9:16,30.0,5s
clips/3 cats dancing.mp4,"Animals: kittens, cats. Objects: wooden floor, indoor plants, lamp. Actions: standing, playing, posing. Emotions: playful, joyful, curiosity, playfulness. Scenes: indoor, home, cozy room. Concepts: companionship, playfulness, cuteness","Animals: kittens, cats. Objects: wooden floor, indoor plants, lamp. Actions: standing, playing, posi...","kittens, cats, wooden floor, indoor plants, lamp, standing, playing, posing, playful, joyful, curiosity, playfulness, indoor, home, cozy room, companionship, playfulness, cuteness","Three playful kittens stand on their hind legs with their front paws raised, appearing to dance or play. The scene is set indoors with warm lighting and a cozy atmosphere.","Three adorable kittens stand on their hind legs in a cozy room, each with a curious expression. The central orange tabby is flanked by a grey and a white kitten, all appearing playful and alert. Soft lighting and a warm atmosphere enhance the charm of the scene.",,704x1248,22:39,30.0,5s
clips/3D-рендеринг.mp4,"Objects: lipstick, water droplets, rose. Scenes: product photography, still life, close-up. Concepts: beauty, luxury, cosmetics, elegance. Visual_attributes: vibrant colors, high contrast, close-up. Nature: flower. Emotions: romantic, sophisticated","Objects: lipstick, water droplets, rose. Scenes: product photography, still life, close-up. Concepts...","lipstick, water droplets, rose, product photography, still life, close-up, beauty, luxury, cosmetics, elegance, vibrant colors, high contrast, close-up, flower, romantic, sophisticated","A vibrant red lipstick stands upright against a dark background, adorned with sparkling droplets. The lipstick's rich color contrasts with the deep black backdrop, creating a striking visual effect.","A vibrant red rose is elegantly perched atop a lipstick tube, adorned with glistening droplets. The scene is set against a dark background, highlighting the rich colors and textures.",,1080x1920,9:16,30.0,5s
clips/A Beautiful night in the jugle.mp4,"Animals: deer, birds, fox. Nature: forest, trees, moon, grass, night sky. Objects: mushrooms, glowing plants. Actions: standing, flying, wandering. Emotions: serene, enchanted, wonder, tranquility. Scenes: night, fantasy, nighttime, magical forest. Concepts: magic, otherworldly, mystical, ethereal","Animals: deer, birds, fox. Nature: forest, trees, moon, grass, night sky. Objects: mushrooms, glowin...","deer, birds, fox, forest, trees, moon, grass, night sky, mushrooms, glowing plants, standing, flying, wandering, serene, enchanted, wonder, tranquility, night, fantasy, nighttime, magical forest, magic, otherworldly, mystical, ethereal","In a mystical forest under a luminous full moon, a group of deer stands amidst glowing mushrooms and ethereal blue lights. Birds gracefully fly through the air, adding to the enchanting atmosphere. The scene is bathed in a serene blue and green glow, creating a magical and otherworldly ambiance.","In a mystical forest under a starry night sky, ethereal animals glow softly as they wander through the serene landscape. A crescent moon hangs above, casting a gentle light over the tall pine trees and luminescent flora. The scene evokes a sense of wonder and tranquility, as if stepping into a magical realm.",,1088x1888,34:59,30.0,5s
"clips/a chef SURREAL COLLAGE, ELEMENTS.mp4","People: chef. Objects: bread, pastries, chef's hat, chef's uniform, baked goods. Actions: floating, orchestrating. Emotions: joy, satisfaction, joyful, content. Scenes: culinary, imaginative, dynamic. Concepts: creativity, magic, culinary arts","People: chef. Objects: bread, pastries, chef's hat, chef's uniform, baked goods. Actions: floating, ...","chef, bread, pastries, chef's hat, chef's uniform, baked goods, floating, orchestrating, joy, satisfaction, joyful, content, culinary, imaginative, dynamic, creativity, magic, culinary arts","A chef in a white uniform and hat stands joyfully amidst a whirlwind of floating baked goods. The scene captures an explosion of bread, pastries, and other baked items surrounding him in mid-air. The chef's expression is one of delight and satisfaction as he appears to orchestrate the culinary chaos.",A chef in a white uniform and hat stands amidst a flurry of various baked goods and ingredients suspended in mid-air. His expression is joyful and content as he seems to orchestrate the culinary chaos around him.,,720x1280,9:16,30.0,5s
clips/A cute white rabbit.mp4,"Animals: rabbit. Objects: carrot, shoes, produce, market stall. Actions: hopping, holding, motion. Emotions: joyful, excited. Scenes: market. Concepts: animation, happiness, playfulness","Animals: rabbit. Objects: carrot, shoes, produce, market stall. Actions: hopping, holding, motion. E...","rabbit, carrot, shoes, produce, market stall, hopping, holding, motion, joyful, excited, market, animation, happiness, playfulness","A cute, animated white rabbit joyfully hops forward, holding a vibrant orange carrot. The rabbit's large eyes and wide smile convey a sense of excitement and happiness.","A small, fluffy white rabbit with red shoes is seen in the foreground, likely in motion. The background is a blurred market scene with colorful produce on display.",,1080x1920,9:16,30.0,5s
clips/a cute white cat playing guitar.mp4,"Animals: cat, kitten. Objects: guitar, stool, string lights, bandana, music sheets. Actions: playing guitar. Emotions: whimsical, playful, cute, charming. Scenes: indoor, cozy. Concepts: music, warmth, cute, whimsy, animation","Animals: cat, kitten. Objects: guitar, stool, string lights, bandana, music sheets. Actions: playing...","cat, kitten, guitar, stool, string lights, bandana, music sheets, playing guitar, whimsical, playful, cute, charming, indoor, cozy, music, warmth, cute, whimsy, animation","A fluffy white kitten with big blue eyes is sitting on a small wooden stool, holding a guitar. The kitten is wearing a red bandana and is surrounded by scattered sheets of music. Warm string lights in the background create a cozy and inviting atmosphere.","A fluffy white cat with bright blue eyes sits on a stool, strumming a small guitar. The cat wears a red bandana, adding a playful touch to the cozy setting illuminated by warm string lights.","A fluffy white cat with bright blue eyes is seated on a wooden stool, holding a small guitar. The cat wears a red bandana and appears to be strumming the guitar strings in a warmly lit room with glowing lights in the background.",720x1280,9:16,30.0,10s
"clips/A Cute, white rabbit, in red sne.mp4","Animals: kitten, rabbit, bunny. Objects: chessboard, chess pieces, drawings, toys, bookshelf. Actions: playing chess, sitting, watching. Emotions: curiosity, focus, playful, curious. Scenes: children's room, playful setting, playtime, playroom, nursery. Concepts: friendship, playfulness, imagination","Animals: kitten, rabbit, bunny. Objects: chessboard, chess pieces, drawings, toys, bookshelf. Action...","kitten, rabbit, bunny, chessboard, chess pieces, drawings, toys, bookshelf, playing chess, sitting, watching, curiosity, focus, playful, curious, children's room, playful setting, playtime, playroom, nursery, friendship, playfulness, imagination","A playful scene unfolds as a cartoon rabbit and a kitten engage in a game of chess on a sunny day. The rabbit, wearing red sneakers, appears curious and focused, while the kitten sits attentively across the board. The room is filled with colorful children's drawings and toys, creating a warm and inviting atmosphere.","A cute animated bunny and kitten are engaged in a playful game of chess on a wooden floor. The room is bright and colorful, filled with children's drawings and toys, creating a warm and inviting atmosphere.","A cute animated scene features a fluffy white rabbit and a curious kitten engaged in a game of chess. The rabbit, wearing red sneakers, attentively watches the kitten, who is focused on the chessboard. The room is bright and colorful, filled with children's drawings and toys.",1080x1920,9:16,30.0,10s
clips/a chicken skydiving.mp4,"Animals: chicken. Objects: sunglasses, parachute harness, harness. Actions: skydiving, free fall. Emotions: adventurous, confident, humorous, whimsical. Scenes: aerial, rural landscape, aerial view, sky. Concepts: humor, whimsy, adventure, surreal","Animals: chicken. Objects: sunglasses, parachute harness, harness. Actions: skydiving, free fall. Em...","chicken, sunglasses, parachute harness, harness, skydiving, free fall, adventurous, confident, humorous, whimsical, aerial, rural landscape, aerial view, sky, humor, whimsy, adventure, surreal",A chicken wearing sunglasses and a parachute harness is skydiving through a clear blue sky. The bird appears confident and adventurous as it soars above a landscape of fields and forests below. The scene captures a whimsical and humorous moment of a chicken engaging in an unexpected activity.,"A chicken wearing sunglasses and a harness is skydiving through a clear blue sky. The bird appears to be in free fall, with a landscape of fields and clouds visible below. The scene is both humorous and surreal, capturing an unexpected adventure.",,1080x1920,9:16,30.0,5s
clips/🖤 Lady in Black.mp4,"People: woman. Objects: hat, feathers, lace dress, lace. Emotions: confidence, mystery. Scenes: portrait. Concepts: elegance, gothic fashion, fashion","People: woman. Objects: hat, feathers, lace dress, lace. Emotions: confidence, mystery. Scenes: port...","woman, hat, feathers, lace dress, lace, confidence, mystery, portrait, elegance, gothic fashion, fashion","A woman dressed in elegant black attire gazes confidently at the camera. She wears a wide-brimmed hat adorned with feathers and intricate lace details, complementing her dark, dramatic makeup.","A woman dressed in elegant gothic attire gazes confidently at the camera. She wears a black lace dress and an ornate hat adorned with feathers and embroidery, exuding a mysterious and sophisticated aura.","A woman dressed in elegant, gothic attire gazes confidently at the camera. She wears a black lace dress and an ornate hat adorned with feathers and intricate designs.",1080x1920,9:16,30.0,10s
clips/A fluffy orange and white kitten.mp4,"Animals: kitten, cat. Objects: bathtub, toys, water, faucet, bubbles. Actions: sitting, meowing, splashing, playing. Emotions: playful, joyful, excited. Scenes: bathroom, indoor. Concepts: playfulness, bath time, pet bathing","Animals: kitten, cat. Objects: bathtub, toys, water, faucet, bubbles. Actions: sitting, meowing, spl...","kitten, cat, bathtub, toys, water, faucet, bubbles, sitting, meowing, splashing, playing, playful, joyful, excited, bathroom, indoor, playfulness, bath time, pet bathing",A fluffy orange and white kitten sits playfully in a bathtub filled with water and colorful floating toys. The kitten appears to be meowing or playfully reacting to the water stream pouring into the tub.,"A playful kitten is sitting in a bathtub filled with water and colorful floating toys. The kitten appears to be meowing or yawning, with its mouth wide open and eyes partially closed.","A playful kitten is seen in a bathtub filled with water and bubbles, joyfully splashing around. The kitten's mouth is open wide, as if meowing or expressing excitement, with its paws playfully raised.",1080x1920,9:16,30.0,10s
"clips/""When lightning meets liberty, t.mp4","Objects: Statue of Liberty, torch, lightning, clouds, water. Nature: clouds, water, storm, sky, lightning. Actions: lightning striking, storm, lightning strike, emerging, illuminating. Emotions: dramatic, intense, powerful. Scenes: stormy weather, landmark, coastal, stormy, dynamic. Concepts: freedom, power, nature's force, iconic, strength","Objects: Statue of Liberty, torch, lightning, clouds, water. Nature: clouds, water, storm, sky, ligh...","Statue of Liberty, torch, lightning, clouds, water, clouds, water, storm, sky, lightning, lightning striking, storm, lightning strike, emerging, illuminating, dramatic, intense, powerful, stormy weather, landmark, coastal, stormy, dynamic, freedom, power, nature's force, iconic, strength",The Statue of Liberty stands majestically against a dramatic sky filled with vibrant lightning strikes. The scene captures the intensity of a storm with dark clouds and bright flashes illuminating the iconic monument.,"The Statue of Liberty stands prominently against a dramatic sky, with dark storm clouds and a striking lightning bolt illuminating the scene. The torch held by the statue is ablaze, adding a fiery contrast to the ominous atmosphere.","The Statue of Liberty is depicted dramatically emerging from the water, with a fiery torch illuminating the dark, stormy sky. The scene is set against a backdrop of ominous clouds and a vibrant sunset, creating a striking contrast.",704x1248,22:39,30.0,10s
clips/A chubby cat running.mp4,"Animals: cat, chicken. People: bystanders. Objects: market stalls, awning. Actions: walking, carrying. Emotions: confident, humorous. Scenes: street, marketplace, market. Concepts: surreal, anthropomorphism","Animals: cat, chicken. People: bystanders. Objects: market stalls, awning. Actions: walking, carryin...","cat, chicken, bystanders, market stalls, awning, walking, carrying, confident, humorous, street, marketplace, market, surreal, anthropomorphism","A large, fluffy orange cat walks confidently down a bustling street, holding a chicken in its arms. The scene is set in a lively marketplace with people blurred in the background, adding to the sense of motion and activity.","A large, fluffy orange cat is walking down a bustling street, carrying a chicken in its arms. The scene is vibrant and lively, with people in the background and colorful market stalls lining the street.",,704x1248,22:39,30.0,5s
clips/''The Eye of the Night queen''.mp4,"Objects: eye, text, pupil, lashes. Actions: glowing. Emotions: mysterious, intense, foreboding, mystery, intensity. Scenes: poster, darkness, close-up, dark background. Concepts: justice, transformation, duality, animation, character design","Objects: eye, text, pupil, lashes. Actions: glowing. Emotions: mysterious, intense, foreboding, myst...","eye, text, pupil, lashes, glowing, mysterious, intense, foreboding, mystery, intensity, poster, darkness, close-up, dark background, justice, transformation, duality, animation, character design","The image features a stylized, glowing eye set against a dark background, creating a mysterious and intense atmosphere. The text 'Born in Darkness, Sworn to Justice' suggests a theme of transformation or duality. The word 'Nightmare' at the bottom adds a sense of foreboding.","A striking close-up of a large, glowing blue eye set against a dark background. The eye is detailed with a sharp black pupil and surrounded by a few stylized lashes.",,768x1152,2:3,30.0,5s
