path,prompt,short_prompt,aspect_ratio,resolution,fps,duration,labels,image_1_caption,image_2_caption,image_3_caption
clips/not_filtered/girl blowing flower.mp4,"People: girl, child. Nature: dandelion, foliage, sunlight, trees. Objects: dandelion. Actions: blowing, floating, gazing, holding. Emotions: wonder, serenity, curiosity. Scenes: outdoor, nature. Concepts: innocence, magic, exploration","People: girl, child. Nature: dandelion, foliage, sunlight, trees. Objects: dandelion. Actions: blowi...",,,,,"girl, child, dandelion, foliage, sunlight, trees, dandelion, blowing, floating, gazing, holding, wonder, serenity, curiosity, outdoor, nature, innocence, magic, exploration","A young girl gently blows on a dandelion, sending its seeds floating into the air. The scene is bathed in soft, warm light, creating a serene and magical atmosphere.","A young child gazes intently at a dandelion, holding it gently in their hand. The sunlight filters through the trees, casting a warm glow on the scene.",
clips/not_filtered/Mrazograd boy.mp4,"People: young person. Nature: snow, cold. Objects: fur-lined hat, winter clothing, fur hat, heavy coat. Actions: standing. Emotions: resilience, intensity, determination. Scenes: urban decay, winter, desolate landscape, harsh environment. Concepts: survival, isolation, hardship","People: young person. Nature: snow, cold. Objects: fur-lined hat, winter clothing, fur hat, heavy co...",,,,,"young person, snow, cold, fur-lined hat, winter clothing, fur hat, heavy coat, standing, resilience, intensity, determination, urban decay, winter, desolate landscape, harsh environment, survival, isolation, hardship","A young person stands in a snowy, desolate landscape, wearing a fur-lined hat and heavy winter clothing. Their face is smudged with dirt, and they gaze intently at the camera, exuding a sense of resilience. Snowflakes fall around them, adding to the cold, harsh atmosphere.","A young person with striking blue eyes is bundled in a fur hat and heavy coat, standing in a snowy, desolate landscape. Their face is speckled with dirt, suggesting hardship and resilience. The background is blurred, emphasizing the intense gaze and the cold, harsh environment.",
clips/not_filtered/Deep blue.mp4,"People: person, portrait. Objects: tattoo. Emotions: intensity, serene, contemplative. Scenes: close-up, indoor. Visual_attributes: blue hair, blue eyes, freckles, soft lighting. Concepts: intimacy, individuality","People: person, portrait. Objects: tattoo. Emotions: intensity, serene, contemplative. Scenes: close...",,,,,"person, portrait, tattoo, intensity, serene, contemplative, close-up, indoor, blue hair, blue eyes, freckles, soft lighting, intimacy, individuality","A close-up portrait of a person with striking blue hair and intense blue eyes. The image captures the fine details of the skin, including freckles, under soft lighting.","A close-up portrait of a person with vibrant blue hair and closed eyes, showcasing detailed facial features and a tattoo on the neck. The soft lighting highlights the natural texture of the skin and the subtle makeup.",
clips/not_filtered/AnOrangeTabbyCatWearing.mp4,"Animals: cat. Objects: knife, cutting board, vegetables, apron. Actions: chopping, cooking. Emotions: focused, whimsical. Scenes: market, food preparation, cooking. Concepts: anthropomorphism, whimsy, culinary","Animals: cat. Objects: knife, cutting board, vegetables, apron. Actions: chopping, cooking. Emotions...",,,,,"cat, knife, cutting board, vegetables, apron, chopping, cooking, focused, whimsical, market, food preparation, cooking, anthropomorphism, whimsy, culinary",A ginger cat wearing a striped apron is skillfully chopping green vegetables on a wooden cutting board. The scene is set in a bustling market with colorful umbrellas and blurred figures in the background.,A ginger cat wearing an apron is skillfully chopping green vegetables on a wooden cutting board. The scene is set in a bustling market with colorful umbrellas and blurred figures in the background.,
clips/not_filtered/Cute fox.mp4,"Animals: fox. Objects: smartphone, pillow. Actions: holding, lying, lounging. Emotions: playful, happy, cute, engaged, content. Scenes: indoor, cozy, relaxed, playful. Concepts: animation, cute, adorable, cuteness","Animals: fox. Objects: smartphone, pillow. Actions: holding, lying, lounging. Emotions: playful, hap...",,,,,"fox, smartphone, pillow, holding, lying, lounging, playful, happy, cute, engaged, content, indoor, cozy, relaxed, playful, animation, cute, adorable, cuteness","A cute, fluffy animated fox character is lying on a soft surface, holding a smartphone. The fox has large, expressive eyes and a playful expression, with its tongue slightly out.","A cute, animated fox is lying on a soft pillow, holding a smartphone. The fox has large, expressive eyes and a fluffy tail, appearing to be engaged with the device.","A cute, animated fox with large blue eyes is lying on a pillow, holding a smartphone. The fox appears to be relaxed and content, with a slight smile on its face."
clips/not_filtered/Professional_Mode_cow_is_eating_the_grass_looks_up.mp4,"People: diners, patrons. Animals: cow. Nature: grass. Objects: tables, booths, windows, condiment bottles, hanging lights. Actions: grazing, sitting, reacting, eating. Emotions: surprise, amusement. Scenes: diner, evening, indoor. Concepts: humor, unexpected, nostalgia, surreal","People: diners, patrons. Animals: cow. Nature: grass. Objects: tables, booths, windows, condiment bo...",,,,,"diners, patrons, cow, grass, tables, booths, windows, condiment bottles, hanging lights, grazing, sitting, reacting, eating, surprise, amusement, diner, evening, indoor, humor, unexpected, nostalgia, surreal","In a retro-style diner, a cow stands on a patch of grass between red booths, surprising the patrons. Diners are seated on either side, with expressions of shock and amusement as they witness the unexpected visitor. The warm lighting and vintage decor add to the nostalgic atmosphere.","In a retro-style diner, a cow stands on a patch of grass in the aisle, surrounded by surprised diners seated in red booths. The evening light filters through the large windows, casting a warm glow over the scene.","A cow stands calmly on a patch of grass inside a retro-style diner, surrounded by surprised diners in red booths. The scene is illuminated by warm, ambient lighting from hanging lamps, creating a surreal yet humorous atmosphere. Outside the large windows, the evening sky casts a soft glow over the scene."
clips/not_filtered/Professional_Mode_The_water_floods_the_gallery__Th.mp4,"Objects: painting, frame, ship, clouds. Actions: emerging, sailing, navigating, spilling. Emotions: awe, wonder, dramatic, surreal. Scenes: art gallery, exhibition, gallery, museum. Concepts: surrealism, illusion, art, reality. Nature: ocean, waves, storm","Objects: painting, frame, ship, clouds. Actions: emerging, sailing, navigating, spilling. Emotions: ...",,,,,"painting, frame, ship, clouds, emerging, sailing, navigating, spilling, awe, wonder, dramatic, surreal, art gallery, exhibition, gallery, museum, surrealism, illusion, art, reality, ocean, waves, storm","A dramatic scene unfolds as a ship emerges from a painting, surrounded by swirling clouds. The artwork is framed in an ornate gold frame, creating a striking contrast with the ethereal mist spilling into the room. The illusion blurs the line between reality and art, captivating the viewer with its surreal quality.","A dramatic scene features a painting of a ship navigating through turbulent seas, with waves appearing to spill out of the frame into the room. The ornate golden frame contrasts with the stormy ocean depicted in the artwork, creating a surreal blend of art and reality.",
clips/not_filtered/entrenamiento jugueton.mp4,"People: baby. Animals: red panda. Nature: forest, trees, sunlight. Objects: sword, wooden sword, shorts, warrior outfit. Actions: standing, holding, facing, raising paw, playing. Emotions: playful, determination, curiosity, curious, adventurous. Scenes: forest path, forest scene, playful interaction, outdoors. Concepts: innocence, adventure, curiosity, playfulness, fantasy","People: baby. Animals: red panda. Nature: forest, trees, sunlight. Objects: sword, wooden sword, sho...",,,,,"baby, red panda, forest, trees, sunlight, sword, wooden sword, shorts, warrior outfit, standing, holding, facing, raising paw, playing, playful, determination, curiosity, curious, adventurous, forest path, forest scene, playful interaction, outdoors, innocence, adventure, curiosity, playfulness, fantasy","A chubby baby with a topknot stands confidently holding a small wooden sword, facing a curious red panda in a sunlit forest. The baby appears to be expressing determination while the red panda raises a paw in a playful gesture. Sunlight filters through the trees, casting a warm glow over the scene.","A chubby baby with a small ponytail stands on a forest path, playfully holding a sword towards a curious red panda. The scene is bathed in soft, dappled sunlight filtering through the trees, creating a whimsical and adventurous atmosphere.","A baby dressed in a warrior outfit is playfully interacting with a red panda on a forest path. The baby holds a small sword, and both appear to be engaged in a light-hearted adventure. Sunlight filters through the trees, creating a serene and magical atmosphere."
"clips/not_filtered/TheTinyWorkersMoveEfficiently,.mp4","People: miniature construction workers, miniature figures, construction workers. Objects: donuts, construction equipment, crane, tools, crane hook. Actions: assembling, lifting, managing, working, building. Emotions: playful, whimsical. Scenes: construction site, culinary art, food art. Concepts: creativity, imagination, miniature","People: miniature construction workers, miniature figures, construction workers. Objects: donuts, co...",,,,,"miniature construction workers, miniature figures, construction workers, donuts, construction equipment, crane, tools, crane hook, assembling, lifting, managing, working, building, playful, whimsical, construction site, culinary art, food art, creativity, imagination, miniature","A whimsical scene depicts miniature construction workers assembling a stack of donuts as if they were a building project. The workers, dressed in orange safety gear, are positioned around the donuts, using tools and a crane to manage the sugary structure. The playful setup creates an imaginative blend of culinary art and construction work.","A whimsical scene depicts miniature construction workers assembling a stack of donuts. The workers, dressed in orange safety gear, are positioned around and on top of the donuts, using tiny construction equipment. A crane hook is suspended above, adding to the playful construction theme.",
clips/not_filtered/AWomanInAGym.mp4,"People: woman. Objects: shaker bottle, sports top. Actions: drinking. Emotions: focused. Scenes: gym. Concepts: fitness, hydration","People: woman. Objects: shaker bottle, sports top. Actions: drinking. Emotions: focused. Scenes: gym...",,,,,"woman, shaker bottle, sports top, drinking, focused, gym, fitness, hydration","A woman in athletic attire is taking a sip from a shaker bottle in a dimly lit gym. The background is blurred, highlighting the focus on her and the bottle.","A woman is drinking from a black shaker bottle in a dimly lit gym. She is wearing a black sports top and has her hair tied back in a ponytail. The gym equipment is visible in the blurred background, creating a focused atmosphere.",
clips/not_filtered/AScorpionSlowlyRaisingIts.mp4,"Animals: scorpion, insect, arthropod. Nature: desert, moon, night sky, sand dunes. Objects: exoskeleton, sand. Actions: crawling, standing. Emotions: mysterious, serene, dramatic, intense. Scenes: desert landscape, nocturnal, nighttime. Concepts: nighttime, wildlife, surreal, nature","Animals: scorpion, insect, arthropod. Nature: desert, moon, night sky, sand dunes. Objects: exoskele...",,,,,"scorpion, insect, arthropod, desert, moon, night sky, sand dunes, exoskeleton, sand, crawling, standing, mysterious, serene, dramatic, intense, desert landscape, nocturnal, nighttime, nighttime, wildlife, surreal, nature","A large scorpion crawls across the sandy desert under the moonlit sky. The moon casts a soft glow, highlighting the scorpion's detailed exoskeleton. The scene is set against a backdrop of distant dunes and a clear night sky.","A large, detailed insect stands prominently in a desert landscape under a bright full moon. The creature's segmented body and pincers are highlighted against the dark night sky, creating a dramatic and surreal scene.",
clips/not_filtered/Futuristic AI Robot.mp4,"People: futuristic figure, person, runner. Objects: drones, armored suit, suit, buildings, neon signs. Actions: running, hovering, standing. Emotions: urgency. Scenes: urban, futuristic, city street, nighttime, night. Concepts: technology, action, cyberpunk, speed, motion","People: futuristic figure, person, runner. Objects: drones, armored suit, suit, buildings, neon sign...",,,,,"futuristic figure, person, runner, drones, armored suit, suit, buildings, neon signs, running, hovering, standing, urgency, urban, futuristic, city street, nighttime, night, technology, action, cyberpunk, speed, motion","A futuristic figure in a sleek, armored suit stands in an urban setting, illuminated by vibrant neon lights. Drones hover in the background, casting a sense of urgency and action. The scene is set against a backdrop of towering skyscrapers under a moody sky.","A futuristic figure in a sleek, black suit is running down a neon-lit city street. The urban environment is illuminated by colorful signs and lights, creating a vibrant yet mysterious atmosphere.","A figure in a sleek black suit is running swiftly down a dimly lit urban street. The scene is blurred, emphasizing the speed and motion of the runner as they pass by large windows."
clips/not_filtered/Wrapped up in nature's embrace.mp4,"People: woman. Nature: flowers, garden, trees. Objects: cup. Actions: holding, smiling. Emotions: serene, content, contentment, serenity. Scenes: garden, outdoor, sunlit. Concepts: relaxation, nature, peace, nature appreciation","People: woman. Nature: flowers, garden, trees. Objects: cup. Actions: holding, smiling. Emotions: se...",,,,,"woman, flowers, garden, trees, cup, holding, smiling, serene, content, contentment, serenity, garden, outdoor, sunlit, relaxation, nature, peace, nature appreciation","A young woman with long hair holds a steaming cup while standing in a sunlit garden. She is surrounded by blooming flowers and bathed in warm, golden light.","A young woman stands in a sunlit garden, holding a cup and smiling gently. The warm sunlight filters through the trees, casting a golden glow over the scene.",
"clips/not_filtered/ALoneTraveler,WalkingThrough.mp4","People: figure, person. Animals: lion. Nature: desert, sandstorm. Objects: cloak. Actions: standing, confronting, walking. Emotions: awe, intensity, majesty. Scenes: surreal, mythical, mystical. Concepts: nature's power, mysticism, imagination","People: figure, person. Animals: lion. Nature: desert, sandstorm. Objects: cloak. Actions: standing,...",,,,,"figure, person, lion, desert, sandstorm, cloak, standing, confronting, walking, awe, intensity, majesty, surreal, mythical, mystical, nature's power, mysticism, imagination","A lone figure stands in a vast desert, facing a colossal, ethereal lion formed from swirling sand and dust. The lion's mane blends seamlessly with the stormy atmosphere, creating a surreal and majestic scene.","A lone figure in a cloak walks towards a massive, ethereal lion's head formed from swirling sand in a desert landscape. The lion's face is detailed and fierce, emerging from the sandstorm with an open mouth, creating a surreal and majestic scene.",
clips/not_filtered/CatPlaysGuitar.mp4,"Animals: cat. Objects: electric guitar, guitar strap, wooden surface, musical equipment. Actions: playing guitar. Emotions: focused, enjoyment, serene, serious. Scenes: indoor, music, music room. Concepts: humor, anthropomorphism, whimsy, imagination","Animals: cat. Objects: electric guitar, guitar strap, wooden surface, musical equipment. Actions: pl...",,,,,"cat, electric guitar, guitar strap, wooden surface, musical equipment, playing guitar, focused, enjoyment, serene, serious, indoor, music, music room, humor, anthropomorphism, whimsy, imagination","A grey cat sits on a wooden surface, seemingly playing an electric guitar with a patterned strap. The cat's eyes are closed, giving the impression of being deeply focused or enjoying the music.","A fluffy gray cat is sitting on a wooden surface, seemingly playing an electric guitar. The cat's eyes are closed, giving it a focused and serene expression.","A fluffy gray cat is perched on a wooden surface, holding an electric guitar with a serious expression. The cat appears to be playing the guitar, with its paws positioned on the strings and fretboard."
"clips/not_filtered/""AHighlyDetailedAndDynamic.mp4","People: miniature figures, traditional attire. Objects: platter, rice, meat, vegetables, bowls. Actions: serving, preparing, arranging. Emotions: communal, cultural, festive. Scenes: culinary, traditional, feast, cultural gathering. Concepts: community, culture, food preparation, tradition","People: miniature figures, traditional attire. Objects: platter, rice, meat, vegetables, bowls. Acti...",,,,,"miniature figures, traditional attire, platter, rice, meat, vegetables, bowls, serving, preparing, arranging, communal, cultural, festive, culinary, traditional, feast, cultural gathering, community, culture, food preparation, tradition","A large, ornate platter is filled with a colorful dish of rice, vegetables, and meat, surrounded by miniature figures dressed in traditional attire. The figures appear to be serving or preparing the dish, each holding a small bowl or spoon. The scene is vibrant and detailed, showcasing a cultural and communal culinary experience.","The image depicts a large, ornate platter of rice and meat, surrounded by miniature figures dressed in traditional attire. The figures appear to be serving or arranging the food, creating a sense of a communal gathering or feast. The vibrant colors of the clothing and food create a visually striking scene.",
clips/not_filtered/mamut lanudo.mp4,"Animals: woolly mammoth. People: observers. Objects: technology, screens, machinery, tusks, metal structures. Actions: observing, observation, standing. Emotions: awe. Scenes: futuristic facility, laboratory. Concepts: scientific research, prehistoric revival, ancient life, modern technology, ancient meets modern","Animals: woolly mammoth. People: observers. Objects: technology, screens, machinery, tusks, metal st...",,,,,"woolly mammoth, observers, technology, screens, machinery, tusks, metal structures, observing, observation, standing, awe, futuristic facility, laboratory, scientific research, prehistoric revival, ancient life, modern technology, ancient meets modern","A massive woolly mammoth stands majestically in a futuristic, high-tech facility. The creature's thick fur and long tusks are highlighted by the ambient lighting, while people in the background observe the scene.","A massive woolly mammoth stands majestically in a futuristic, high-tech facility. The creature's long tusks and shaggy fur contrast with the sleek metallic environment, while people observe it from a distance.","A massive woolly mammoth stands majestically in a futuristic, high-tech facility. The creature's long tusks and thick fur contrast with the sleek, metallic environment surrounding it. People in the background observe the mammoth, highlighting the blend of ancient and advanced technology."
clips/not_filtered/Письменниця.mp4,"People: woman. Objects: ink, brush pen, calligraphy paper, brush, paper. Actions: writing, calligraphy. Emotions: concentration, serenity, calm. Scenes: indoor, artistic setting, artistic. Concepts: art, tradition, creativity, focus","People: woman. Objects: ink, brush pen, calligraphy paper, brush, paper. Actions: writing, calligrap...",,,,,"woman, ink, brush pen, calligraphy paper, brush, paper, writing, calligraphy, concentration, serenity, calm, indoor, artistic setting, artistic, art, tradition, creativity, focus","A woman with long white hair is focused on writing calligraphy with a brush pen. She is seated at a table, surrounded by traditional calligraphy tools, including ink and paper. The scene is set against a dark background, highlighting her concentration and the elegance of the art form.","A woman with long blonde hair is focused on writing calligraphy with a brush on a piece of paper. She is seated at a table, dressed in a black top, with a calm and concentrated expression.",
clips/not_filtered/Pinke.mp4,"Animals: monkey, furry character. Objects: gold chain, boat, sunglasses, American flag, rocket. Actions: cruising, gazing. Emotions: playful, confident, curiosity. Scenes: ocean, boat deck, space launch site. Concepts: humor, surreal, anticipation","Animals: monkey, furry character. Objects: gold chain, boat, sunglasses, American flag, rocket. Acti...",,,,,"monkey, furry character, gold chain, boat, sunglasses, American flag, rocket, cruising, gazing, playful, confident, curiosity, ocean, boat deck, space launch site, humor, surreal, anticipation","A pink cartoon monkey wearing sunglasses and a gold chain stands confidently on the deck of a boat. The boat is cruising through the ocean, with an American flag waving at the stern.","A pink, furry character with a gold chain around its neck gazes at a large rocket standing on a launch pad. The sky is partly cloudy, creating a dramatic backdrop for the scene.",
clips/not_filtered/TheCreatureWalksTowardsThe.mp4,"Animals: chicken. Nature: forest, leaves, trees. Objects: spotlight, hand. Actions: standing, reaching. Emotions: alert, alertness. Scenes: night, forest, outdoors. Concepts: contrast, isolation, interaction, wildlife","Animals: chicken. Nature: forest, leaves, trees. Objects: spotlight, hand. Actions: standing, reachi...",,,,,"chicken, forest, leaves, trees, spotlight, hand, standing, reaching, alert, alertness, night, forest, outdoors, contrast, isolation, interaction, wildlife","A chicken stands alert on a forest floor, illuminated by a spotlight in the darkness. The bird's greenish feathers contrast with the dark surroundings, while dry leaves cover the ground.","A chicken stands alert on a forest floor covered with dry leaves, illuminated by a bright light. A hand reaches towards the chicken, casting a shadow on the ground.",
clips/not_filtered/Thank You.mp4,"Nature: clouds, sky, sunlight. Objects: heart-shaped cloud, heart-shaped clouds. Emotions: serenity, wonder, peacefulness, calm. Scenes: dreamlike, ethereal, heavenly, serene, cloudscape. Concepts: love, tranquility, peace","Nature: clouds, sky, sunlight. Objects: heart-shaped cloud, heart-shaped clouds. Emotions: serenity,...",,,,,"clouds, sky, sunlight, heart-shaped cloud, heart-shaped clouds, serenity, wonder, peacefulness, calm, dreamlike, ethereal, heavenly, serene, cloudscape, love, tranquility, peace","The image depicts a serene sky filled with fluffy clouds, with several heart-shaped clouds prominently visible. Sunlight streams through the sky, casting a warm glow over the scene.","The image depicts a serene sky filled with fluffy clouds, among which a large heart-shaped cloud stands out. Sunlight streams through the sky, casting a heavenly glow over the scene.","A serene sky filled with fluffy clouds forms a heart shape, illuminated by the bright sunlight. The scene conveys a sense of peace and wonder, with the sun's rays casting a gentle glow over the cloudscape."
clips/not_filtered/AModelWalksDownThe.mp4,"People: model, audience. Objects: dress, limes, apples, green apples, runway. Actions: walking, observing. Emotions: confident, focused. Scenes: fashion show, runway. Concepts: fashion, avant-garde, creativity","People: model, audience. Objects: dress, limes, apples, green apples, runway. Actions: walking, obse...",,,,,"model, audience, dress, limes, apples, green apples, runway, walking, observing, confident, focused, fashion show, runway, fashion, avant-garde, creativity","A model walks down the runway wearing a unique dress adorned with green apples and limes. The dress is made of a transparent material, creating a striking visual effect against the vibrant background. The setting is a fashion show with a colorful gradient backdrop.","A model walks down the runway wearing a unique dress adorned with green apples and limes. The dress is made of a translucent material, creating a striking visual against the vibrant backdrop. The audience is seated on either side, observing the fashion show.",
