path,prompt,short_prompt,aspect_ratio,resolution,fps,duration,labels
clips/Elsa,"The girl blinked and smiled gently. Then she turned around slowly, her hair and ribbons flowing softly. Finally, the girl gradually transformed into snowflakes, which then fell gently. The changing, shimmering light created an ethereal feeling. The background music was soft and melodic.","The girl blinked and smiled gently. Then she turned around slowly, her hair and ribbons flowing softly. Finally, the girl gradually transformed into snowflakes, which then fell gently. The changing, shimmering light created an ethereal...",2:3,768x1152,30.0,10s,"girl, hair, ribbon, snowflake, light, feeling, background, music"
clips/Little Princess And The Wolf,"The little girl and the wolf walking to camera, gentle wind blow the little girl hair and the wolf fur","The little girl and the wolf walking to camera, gentle wind blow the little girl hair and the wolf fur",9:16,1080x1920,30.0,5s,"girl, wolf, camera, wind, hair, fur"
clips/space battle,"Hyper-speed POV shot: the camera zooms through a chaotic space battlefield, weaving between massive starships exchanging laser fire. Explosions erupt in the vacuum, sending debris spinning in all directions. Fighters dart past, dodging streams of plasma, while the camera narrowly avoids glowing shrapnel and fragments of shattered ships. The view accelerates through dense fields of smoke-like energy clouds, illuminated by the flicker of distant explosions and blinding light flares. The atmosphere is cinematic and high-contrast, capturing the chaos of battle in vivid detail.","Hyper-speed POV shot: the camera zooms through a chaotic space battlefield, weaving between massive starships exchanging laser fire. Explosions erupt in the vacuum, sending debris spinning in all directions. Fighters dart past, dodging streams of...",59:34,1888x1088,30.0,5s,"pov, shot, camera, zoom, space, battlefield, starship, laser"
clips/An angel,"""An angel sitting gracefully on a cloud, with her large, majestic wings spread wide. She has long, flowing hair and a serene, peaceful expression. The angel wears a soft, flowing white gown, with intricate silver patterns. The background is a soft pastel sky, with light golden rays filtering through. Her wings are feathery and glowing with a soft, ethereal light. The angel's posture is calm and contemplative, as she sits with one leg bent and the other resting on the cloud, her hands gently resting on her lap.""","""An angel sitting gracefully on a cloud, with her large, majestic wings spread wide. She has long, flowing hair and a serene, peaceful expression. The angel wears a soft, flowing white gown, with intricate silver...",55:36,1760x1152,30.0,10s,"angel, cloud, wing, hair, expression, gown, silver, pattern"
clips/Teacher's Pet,"A teacher walks slowly towards the camera with natural and realistic motion. Their steps are steady and deliberate, with slight arm movement matching the walking rhythm. As they get closer, their facial expression transitions smoothly into a warm, genuine smile. After a brief pause, the teacher leans slightly forward towards the camera in a friendly, engaging manner, creating a sense of closeness and connection. The upper body subtly shifts forward during the lean, with slight head tilt and natural eye focus towards the lens.","A teacher walks slowly towards the camera with natural and realistic motion. Their steps are steady and deliberate, with slight arm movement matching the walking rhythm. As they get closer, their facial expression transitions smoothly...",4:5,1280x1600,30.0,10s,"teacher, camera, motion, step, arm, movement, rhythm, expression"
clips/miniature is cleaning the dust a,"""A highly detailed miniature worker in an orange uniform with a backpack actively cleaning a black computer keyboard. The tiny street cleaner uses a small broom to sweep dust and debris between the keys while pushing a miniature cart filled with trash. The camera captures close-up shots of his movements, including sweeping, collecting tiny pieces of dirt, and occasionally wiping the keyboard with a cloth. The scene is shot in slow-motion for a cinematic effect, with soft lighting that highlights the miniature details. The depth of field is shallow, keeping the worker in sharp focus while the background remains blurred, creating a realistic and immersive perspective. Occasionally, the worker stops to check his progress, adjusts his backpack, and continues cleaning, making the animation feel lifelike and engaging.""","""A highly detailed miniature worker in an orange uniform with a backpack actively cleaning a black computer keyboard. The tiny street cleaner uses a small broom to sweep dust and debris between the keys while...",22:39,704x1248,30.0,5s,"worker, uniform, backpack, computer, keyboard, street, cleaner, broom"
clips/Samurai Frog,"maintaining a Close Shot,nature light,the camera follows the subject moving, muted colors, character walking forward","maintaining a Close Shot,nature light,the camera follows the subject moving, muted colors, character walking forward",9:16,1080x1920,30.0,5s,"shot, nature, light, camera, subject, moving, color, character"
clips/weight lifting cat,Cat squatting with weights and a bird flying on the weights making inside heavier and the balance off,Cat squatting with weights and a bird flying on the weights making inside heavier and the balance off,1:1,1440x1440,30.0,10s,"cat, weight, bird, balance"
clips/close-up beautiful woman's face,"A close-up of a beautiful woman's face with coral eyeshadow, defined eyebrows, and glossy lips, where miniature artists in white shirts and blue jeans work as makeuping girls face, move with precision, each one focused on their task, their movements look natural and correct while adding intricate details. The woman expresses delight and at the same time enjoys the process, she smiles shyly, her emotions are calm and peaceful. She blinks every few seconds Smooth and stable shooting. One artist climbs a wooden ladder to perfect her coral lipstick while others stand on platforms applying shimmer to her cheeks. Some mix pigments at small tables while others carefully place gold sparkles around her turquoise eyes. Every movement is smooth and synchronized, creating a seamless rhythm of teamwork and precision. Smooth, stable camera movement captures the intricate work. Ultra-detailed, 8K resolution.the camera rotates around the subject","A close-up of a beautiful woman's face with coral eyeshadow, defined eyebrows, and glossy lips, where miniature artists in white shirts and blue jeans work as makeuping girls face, move with precision, each one focused...",9:16,1080x1920,30.0,5s,"close, up, woman, face, eyeshadow, eyebrow, lip, artist"
clips/Miss L Waiting for you,"„Louisa is an astute, introspective personality with a gift for deciphering hidden patterns in human behaviour. She moves between cool analysis and deep compassion, questioning systems and recognising fractures in reality that remain hidden to others. Her presence is challenging and fascinating at the same time - a border crosser between logic and emotion, between clarity and chaos.“ 😘😅","„Louisa is an astute, introspective personality with a gift for deciphering hidden patterns in human behaviour. She moves between cool analysis and deep compassion, questioning systems and recognising fractures in reality that remain hidden to...",5:4,1600x1280,30.0,10s,"louisa, personality, gift, pattern, behaviour, analysis, compassion, system"
clips/Bursting bioluminescent mushroom,"A colony of bioluminescent mushrooms suddenly explodes, releasing clouds of tiny glowing particles into the air. This triggers a chain reaction throughout the entire colony, causing all the mushrooms to burst and fill the scene with luminescent specks. As the particles settle, they aggregate on the ground, forming a thick layer of shimmering water approximately a quarter-meter high.","A colony of bioluminescent mushrooms suddenly explodes, releasing clouds of tiny glowing particles into the air. This triggers a chain reaction throughout the entire colony, causing all the mushrooms to burst and fill the scene...",34:59,1088x1888,30.0,10s,"colony, mushroom, cloud, particle, air, chain, reaction, scene"
clips/A girl in the snowy mountains,"Still shot. The woman in ski gear stands on a snowy mountain slope, remaining as still as possible. From the **2nd to the 4th second**, she quickly puckers her lips to send an air kiss, then immediately relaxes them. After that, she maintains a bright, cheerful smile and starts gently laughing for the rest of the video. Her facial expression changes smoothly and naturally, without exaggerated motion. The reflections on her goggles remain stable, and the lighting stays consistent. Natural and realistic motion.","Still shot. The woman in ski gear stands on a snowy mountain slope, remaining as still as possible. From the **2nd to the 4th second**, she quickly puckers her lips to send an air kiss,...",9:16,1080x1920,30.0,10s,"woman, gear, mountain, slope, *, 2nd, second, lip"
clips/cat barber,"smooth motion. Make the cat's paws subtly move as if it’s adjusting its grip on the grinder. Add small head tilts and blinking for realism. The sparks from the grinder should flicker and fly dynamically. The man's face should show slight movement, like natural breathing or subtle head tilts, but keep his joyful expression. Ensure smooth looped animation for a seamless effect",smooth motion. Make the cat's paws subtly move as if it’s adjusting its grip on the grinder. Add small head tilts and blinking for realism. The sparks from the grinder should flicker and fly dynamically....,9:16,1080x1920,30.0,5s,"motion, cat, paw, grip, grinder, head, tilt, realism"
clips/Chien sous l'eau,"Imagine a relaxing scene featuring a cute baby dog fullysubmerged in water, joyfully surrounded by sparkling bubbles. The imageshould be hyper-realistic, with a resolution close to 8K, capturing everydetail of the animal, the bubbles, and the water. Sunlight filters through thewater's surface, creating shimmering reflections and illuminating the animalwith a soft glow. The background is blurred to emphasize the animal, whiledelicate aquatic plants add a touch of nature to the scene.","Imagine a relaxing scene featuring a cute baby dog fullysubmerged in water, joyfully surrounded by sparkling bubbles. The imageshould be hyper-realistic, with a resolution close to 8K, capturing everydetail of the animal, the bubbles, and...",9:16,720x1280,30.0,10s,"scene, baby, dog, water, bubble, resolution, k, everydetail"
clips/A Tiny King's Grand Meal,"A group of tiny waiters, dressed in neat uniforms with little aprons, are working hard at a grand feast. One tiny waiter is carefully grilling a massive steak over an open flame, the sizzling meat releasing rich aromas. Another tiny waiter is using a sharp knife to slice perfectly cooked meat on a wooden board. The steak is so large that it dwarfs the tiny workers, requiring teamwork to handle. On the other side, away from the fire, a tiny king sits comfortably on a royal chair, wearing a golden crown and a luxurious robe. He eagerly watches as the waiters prepare his meal, his table set with golden plates and fine dining utensils. The scene is warm and lively, with glowing embers and a feast-like atmosphere.","A group of tiny waiters, dressed in neat uniforms with little aprons, are working hard at a grand feast. One tiny waiter is carefully grilling a massive steak over an open flame, the sizzling meat...",9:16,1080x1920,30.0,5s,"group, waiter, uniform, apron, feast, steak, flame, meat"
clips/Lord Vishnu flying in space,"Create a cinematic video depicting Lord Vishnu, with his four arms and serene expression, seated atop Garuda, the king of birds. They fly through a breathtaking cosmic landscape filled with swirling nebulae, distant galaxies, and shimmering stardust. Garuda's wings beat powerfully, creating a sense of motion and majesty. Vishnu's garments flow in the cosmic wind. The style should be a blend of traditional Indian art with a touch of cosmic surrealism, reminiscent of classic space art. Include slow-motion shots and dynamic camera angles to emphasize the scale and grandeur of the scene. The music should be epic and inspiring","Create a cinematic video depicting Lord Vishnu, with his four arms and serene expression, seated atop Garuda, the king of birds. They fly through a breathtaking cosmic landscape filled with swirling nebulae, distant galaxies, and...",9:16,1080x1920,30.0,5s,"video, lord, vishnu, arm, expression, garuda, king, bird"
clips/beautiful dancer with phoenix,"the woman is dancing chinese traditional dance. The phoenix glides and circles, its radiant feathers glowing in shades of red and gold, creating a breathtaking visual harmony with the dancer","the woman is dancing chinese traditional dance. The phoenix glides and circles, its radiant feathers glowing in shades of red and gold, creating a breathtaking visual harmony with the dancer",9:16,1080x1920,30.0,5s,"woman, dance, phoenix, glide, circle, feather, shade, red"
clips/Bữa nhậu ngon,"The cat and the tiger are holding a glass of beer and drinking it all, the surrounding scene moves flexibly.","The cat and the tiger are holding a glass of beer and drinking it all, the surrounding scene moves flexibly.",1:1,960x960,30.0,5s,"cat, tiger, glass, beer, scene"
clips/Cozy Tales Train,add a motion in this image and add camera in the front and the train motion will show,add a motion in this image and add camera in the front and the train motion will show,22:39,704x1248,30.0,10s,"motion, image, camera, front, train"
clips/Smoking,"A stunning woman with voluminous wavy hair walks slowly toward the camera down a dimly lit gothic corridor, her piercing eyes scanning the shadows with quiet unease. Wisps of smoke swirl behind her, shifting subtly as she moves, illuminated by flickering candlelight. She walks with a slow, deliberate pace, her expression tense yet alluring, as if sensing an unseen presence. Her white lace-trimmed blouse moves naturally with her steps, contrasting against the flowing black lace of her coat. The camera starts with a medium full shot, smoothly tracking backward to maintain perfect framing, while slightly tilting up as she approaches, intensifying the suspense. The cinematic depth of field keeps the background slightly blurred, enhancing the eerie atmosphere. Shot in IMAX-quality ultra-smooth motion, with hyper-detailed photorealism and award-winning cinematography, capturing every nuance of her emotion.","A stunning woman with voluminous wavy hair walks slowly toward the camera down a dimly lit gothic corridor, her piercing eyes scanning the shadows with quiet unease. Wisps of smoke swirl behind her, shifting subtly...",1:1,1440x1440,30.0,10s,"woman, hair, camera, corridor, eye, shadow, unease, wisp"
clips/pink spaghetti strap top,"Her body rocks back and forth from left to right with a lively, energetic motion.","Her body rocks back and forth from left to right with a lively, energetic motion.",25:34,800x1088,30.0,5s,"body, right, motion"
clips/Macaron,"Tiny chef figures are assembling a giant pink macaron. One chef carefully lifts the top shell with both hands, while another spreads creamy filling using an oversized spatula. The filling sways slightly as it's adjusted. The background remains soft and dreamy, with occasional light reflections. The camera slowly moves from a slight side angle to a gentle zoom-in on the chefs’ work, keeping movements smooth and natural.","Tiny chef figures are assembling a giant pink macaron. One chef carefully lifts the top shell with both hands, while another spreads creamy filling using an oversized spatula. The filling sways slightly as it's adjusted....",16:9,1920x1080,30.0,5s,"chef, figure, macaron, shell, hand, creamy, spatula, filling"
clips/As light as air,"animates the imagethe woman runs at full speed on the clouds, the camera following her, remaining on the same axis as her, at the same distance in a dolly shot","animates the imagethe woman runs at full speed on the clouds, the camera following her, remaining on the same axis as her, at the same distance in a dolly shot",9:16,1080x1920,30.0,5s,"woman, speed, cloud, camera, axis, distance, shot"
clips/Miniature woman riding a parrot,"tracking shot of A miniature human in jungle attire turns to look forward, sits calmly on the back of a Parrot, gripping woven reins made from fine grass strands. The bird soars through the air with speed, its feathers ruffling in the wind, with its wings outstretched, while the rider’s scarf and hair flutters behind them. The close-up captures the bond between the tiny figure and their avian companion, the background blurred with soft greens and sky blues,","tracking shot of A miniature human in jungle attire turns to look forward, sits calmly on the back of a Parrot, gripping woven reins made from fine grass strands. The bird soars through the air...",37:54,1184x1728,30.0,5s,"tracking, shot, human, jungle, attire, back, parrot, rein"
clips/Metamorphosis,the screaming man turns into a lion,the screaming man turns into a lion,9:16,1080x1920,30.0,5s,"man, lion"
clips/Advertising hubcaps,"A dynamic video where the camera follows a sports car racing down a road during sunset. The wheels spin at high speed and the road blurs into dynamic lines. The sunlight reflects off the car's body, creating a striking contrast between the warm hues of the sunset and the cool blue tone of the road.",A dynamic video where the camera follows a sports car racing down a road during sunset. The wheels spin at high speed and the road blurs into dynamic lines. The sunlight reflects off the car's...,9:16,1080x1920,30.0,5s,"video, camera, sport, car, road, sunset, wheel, spin"
clips/Gothic babe,She very slowly smiles and looks at the viewer while she runs a hand through her hair. She looks very European.,She very slowly smiles and looks at the viewer while she runs a hand through her hair. She looks very European.,19:26,1216x1664,30.0,5s,"viewer, hand, hair"
clips/Flying on HaLong,"Create an unreal visual of a young Vietnamese girl in a red long dress with a golden star on her chest, flying gracefully over the breathtaking scenery of Halong Bay. Use dynamic camera angles to emphasize her elegance and the bay’s majestic beauty:360-degree rotation shot: Camera spirals around her as she flies, capturing her against limestone karsts. First-person POV: View from her shoulder, seeing the scenery rush by as she glides through the sky. Worm’s eye view: Look up from the water, seeing her soar in contrast with the vast sky and bay.Slow-motion close-up: Focus on her hand through clouds, zooming out to reveal Hạ Long Bay.Time-lapse sky pan: Stationary camera shows her slow flight, with fast-moving clouds.Tilted aerial shot: A sharp downward angle captures her small figure flying against the vast limestone pillars.""","Create an unreal visual of a young Vietnamese girl in a red long dress with a golden star on her chest, flying gracefully over the breathtaking scenery of Halong Bay. Use dynamic camera angles to...",9:16,1080x1920,30.0,10s,"visual, girl, dress, star, chest, scenery, halong, bay"
clips/Cute bunny with a bouquet of flo,A bunny walks through a clearing with a bouquet of wildflowers and holds out the bouquet towards the camera,A bunny walks through a clearing with a bouquet of wildflowers and holds out the bouquet towards the camera,9:16,1080x1920,30.0,5s,"bunny, clearing, bouquet, wildflower, camera"
clips/Teacher walks slowly,"A teacher walks slowly towards the camera with natural and realistic motion. Their steps are steady and deliberate, with slight arm movement matching the walking rhythm. As they get closer, their facial expression transitions smoothly into a warm, genuine smile. After a brief pause, the teacher leans slightly forward towards the camera in a friendly, engaging manner, creating a sense of closeness and connection. The upper body subtly shifts forward during the lean, with slight head tilt and natural eye focus towards the lens.","A teacher walks slowly towards the camera with natural and realistic motion. Their steps are steady and deliberate, with slight arm movement matching the walking rhythm. As they get closer, their facial expression transitions smoothly...",36:55,1152x1760,30.0,5s,"teacher, camera, motion, step, arm, movement, rhythm, expression"
clips/The girl in the apple orchard,"The girl turns to the left, lifts a bit her head, opens her eyes and smiles. dynamic scene in the background you can see how the wind slightly ripples apples. static camera","The girl turns to the left, lifts a bit her head, opens her eyes and smiles. dynamic scene in the background you can see how the wind slightly ripples apples. static camera",34:59,1088x1888,30.0,5s,"girl, left, bit, head, eye, smile, scene, background"
clips/Microorganisms,"Clip 1 – ""The Spark of Life"":Visual: A shimmering, liquid micro-world. Tiny bacteria begin to form, emerging from a glowing, pulsating pool.Mood: Mysterious and awe-inspiring, setting the stage for life’s origin.","Clip 1 – ""The Spark of Life"":Visual: A shimmering, liquid micro-world. Tiny bacteria begin to form, emerging from a glowing, pulsating pool.Mood: Mysterious and awe-inspiring, setting the stage for life’s origin.",1:1,1440x1440,30.0,10s,"clip, spark, life"":visual, liquid, micro, -, world, bacteria"
clips/Кузнечик,"Cute Grasshopper in the grass and flowers, playing a bow on his violin. A light breeze blows the grass. Grasshopper smiles.","Cute Grasshopper in the grass and flowers, playing a bow on his violin. A light breeze blows the grass. Grasshopper smiles.",9:16,720x1280,30.0,5s,"grasshopper, grass, flower, bow, violin, breeze, smile"
clips/Panda Chaos,"the camera follows the subject moving,A hyper-realistic, 4K scene set in the bustling streets of a modern Chinese city, where chaos erupts as a gigantic panda roams through the urban landscape. The panda, towering over skyscrapers, is an awe-inspiring yet terrifying sight. Its fur is incredibly detailed, with every strand visible, from the soft white of its face to the deep black of its limbs. The panda’s massive paws crush cars and scatter debris as it walks, its gentle eyes contrasting with the destruction it unintentionally causes. The streets below are filled with panicked crowds—people running in all directions, some dropping bags or bicycles, others hiding behind overturned vehicles or storefronts. Neon signs in Chinese characters flicker in the background, and traditional architecture blends with modern high-rises, creating a vivid cultural juxtaposition. The camera angle is low, emphasizing the panda’s colossal size as it looms over the cityscape. The atmosphere is tense and dramatic, with dust and smoke rising from the ground, and the golden hues of the setting sun casting long shadows. The scene is a mix of awe and fear, capturing the surreal spectacle of a gentle giant disrupting the chaos of urban life.","the camera follows the subject moving,A hyper-realistic, 4K scene set in the bustling streets of a modern Chinese city, where chaos erupts as a gigantic panda roams through the urban landscape. The panda, towering over...",1:1,960x960,30.0,5s,"camera, subject, moving, k, scene, street, city, chaos"
clips/Roaring waterfall,"POV helmet camera shot of a Harley-Davidson Iron 883 rider descending a fractured walkway carved into a sheer cliff, with a roaring waterfall pounding the rocks below.","POV helmet camera shot of a Harley-Davidson Iron 883 rider descending a fractured walkway carved into a sheer cliff, with a roaring waterfall pounding the rocks below.",9:16,1080x1920,30.0,5s,"pov, helmet, camera, shot, harley, davidson, iron, rider"
clips/3 cats dancing,"A looping animation of three adorable cats standing on their hind legs, dancing in a playful and funny manner. The chubby orange cat in the center leads the dance, moving its paws up and down with excitement. The gray cat on the left and the white cat on the right follow along, swaying side to side and bouncing slightly, as if they are grooving to upbeat music.Their faces are expressive, with joyful and excited emotions. Their fur is soft and fluffy, highly detailed with realistic textures. The background is a cozy indoor setting with warm lighting, wooden floors, and soft ambient decorations, including a glowing lamp and green plants.The animation captures smooth and natural movements, as the cats appear to hop and groove in sync, creating a lively and humorous atmosphere. The scene is well-lit with warm, inviting tones, making it feel like a cheerful and fun moment","A looping animation of three adorable cats standing on their hind legs, dancing in a playful and funny manner. The chubby orange cat in the center leads the dance, moving its paws up and down...",22:39,704x1248,30.0,5s,"animation, cat, hind, leg, manner, chubby, orange, center"
clips/A teenager with a butterfly,"9:16 FormatCreate a cinematic video of a serene young woman sitting on a park bench surrounded by vibrant flowers. A butterfly gently lands on her outstretched hand, its wings fluttering slowly. The sunlight filters through the trees, casting soft, golden rays across the scene. Subtle movements of flowers and natural elements enhance the peaceful and magical mood.","9:16 FormatCreate a cinematic video of a serene young woman sitting on a park bench surrounded by vibrant flowers. A butterfly gently lands on her outstretched hand, its wings fluttering slowly. The sunlight filters through...",9:16,1080x1920,30.0,5s,"formatcreate, video, woman, park, bench, flower, butterfly, hand"
clips/TODESRITTER,"Todesritter mit menschlichen ZügenDunkle, verzierte Rüstung mit glühenden mystischen RunenEine massive, dunkle Waffe (Schwert oder Axt) wird geführtAus der Waffe wird ein Feuerball gezaubert, umgeben von Flammen und magischer EnergieKraftvolle, unheimliche Ausstrahlung, die Dominanz und Magie vereintUmgebung:Brennende Landschaft mit Lavaflüssen und brodelnden KraternBlitze zerreißen den düsteren, rußigen HimmelRauch und Asche treiben in der Luft, Funken tanzen um den RitterFeurige Lichter reflektieren auf der glänzenden, dunklen RüstungDynamische Energie, als würde die Welt vor Hitze und Magie pulsierenAtmosphäre:Episch, bedrohlich und majestätischMagie, Feuer und Chaos verbinden sich zu einer apokalyptischen KulisseDer Feuerball wirkt wie ein lebendiges Wesen, das gleich entfesselt wird","Todesritter mit menschlichen ZügenDunkle, verzierte Rüstung mit glühenden mystischen RunenEine massive, dunkle Waffe (Schwert oder Axt) wird geführtAus der Waffe wird ein Feuerball gezaubert, umgeben von Flammen und magischer EnergieKraftvolle, unheimliche Ausstrahlung, die Dominanz und...",9:16,1080x1920,30.0,10s,"todesritter, zügendunkle, verzierte, rüstung, glühenden, mystischen, runeneine, dunkle"
clips/Racing Car,"A high-performance yellow supercar is showcased in the heart of a bustling city. The camera captures the sleek vehicle from a low angle, emphasizing its aerodynamic design and aggressive stance. TThe background is composed of high-rise buildings, creating an urban atmosphere. The scene starts with a slow pan around the car, highlighting its glossy surface, racing decals, and large rear spoiler. As the engine roars to life, the car accelerates down the city streets, dynamic reflections on the pavement. The lighting accentuates the contours of the vehicle, with warm golden hues reflecting off the glass buildings. The background is clear daylight.The overall tone is Warm,cinematic, modern, and exhilarating, with a high-speed chase or a stylish city drive atmosphere,positioned at a Long Shot","A high-performance yellow supercar is showcased in the heart of a bustling city. The camera captures the sleek vehicle from a low angle, emphasizing its aerodynamic design and aggressive stance. TThe background is composed of...",9:16,1080x1920,30.0,10s,"performance, supercar, heart, city, camera, vehicle, angle, design"
clips/Tiny Chefs Making Coffee,"A hyper-realistic miniature scene featuring tiny chefs crafting an exquisite cup of coffee. They are dressed in traditional white chef uniforms with tiny aprons and tall chef hats, their outfits slightly dusted with coffee grounds and cocoa powder. Some workers are standing on ladders, carefully adding ingredients. One chef, balancing on a ladder, is delicately sprinkling sugar into the cup using a tiny spoon, while another, also on a ladder, is pouring milk from a small wooden bucket, creating a smooth swirl in the coffee. A shiny coffee cup sits on a saucer dusted with cocoa powder, surrounded by scattered coffee beans and a small spoon. The background is softly blurred with a warm, cozy café ambiance.","A hyper-realistic miniature scene featuring tiny chefs crafting an exquisite cup of coffee. They are dressed in traditional white chef uniforms with tiny aprons and tall chef hats, their outfits slightly dusted with coffee grounds...",9:16,1080x1920,30.0,10s,"scene, chef, cup, coffee, uniform, apron, hat, outfits"
clips/Egg,The little men are doing their job,The little men are doing their job,9:16,720x1280,30.0,5s,"man, job"
