path,prompt,short_prompt,aspect_ratio,resolution,fps,duration,labels
clips/Little Princess And The Wolf.mp4,"The little girl and the wolf walking to camera, gentle wind blow the little girl hair and the wolf fur","The little girl and the wolf walking to camera, gentle wind blow the little girl hair and the wolf fur",9:16,1080x1920,30.0,5s,"girl, wolf, camera, wind, hair, fur"
clips/Teacher's Pet.mp4,"A teacher walks slowly towards the camera with natural and realistic motion. Their steps are steady and deliberate, with slight arm movement matching the walking rhythm. As they get closer, their facial expression transitions smoothly into a warm, genuine smile. After a brief pause, the teacher leans slightly forward towards the camera in a friendly, engaging manner, creating a sense of closeness and connection. The upper body subtly shifts forward during the lean, with slight head tilt and natural eye focus towards the lens.","A teacher walks slowly towards the camera with natural and realistic motion. Their steps are steady and deliberate, with slight arm movement matching the walking rhythm. As they get closer, their facial expression transitions smoothly...",4:5,1280x1600,30.0,10s,"teacher, camera, motion, step, arm, movement, rhythm, expression"
clips/miniature is cleaning the dust a.mp4,"""A highly detailed miniature worker in an orange uniform with a backpack actively cleaning a black computer keyboard. The tiny street cleaner uses a small broom to sweep dust and debris between the keys while pushing a miniature cart filled with trash. The camera captures close-up shots of his movements, including sweeping, collecting tiny pieces of dirt, and occasionally wiping the keyboard with a cloth. The scene is shot in slow-motion for a cinematic effect, with soft lighting that highlights the miniature details. The depth of field is shallow, keeping the worker in sharp focus while the background remains blurred, creating a realistic and immersive perspective. Occasionally, the worker stops to check his progress, adjusts his backpack, and continues cleaning, making the animation feel lifelike and engaging.""","""A highly detailed miniature worker in an orange uniform with a backpack actively cleaning a black computer keyboard. The tiny street cleaner uses a small broom to sweep dust and debris between the keys while...",22:39,704x1248,30.0,5s,"worker, uniform, backpack, computer, keyboard, street, cleaner, broom"
clips/Samurai Frog.mp4,"maintaining a Close Shot,nature light,the camera follows the subject moving, muted colors, character walking forward","maintaining a Close Shot,nature light,the camera follows the subject moving, muted colors, character walking forward",9:16,1080x1920,30.0,5s,"shot, nature, light, camera, subject, moving, color, character"
clips/close-up beautiful woman's face.mp4,"A close-up of a beautiful woman's face with coral eyeshadow, defined eyebrows, and glossy lips, where miniature artists in white shirts and blue jeans work as makeuping girls face, move with precision, each one focused on their task, their movements look natural and correct while adding intricate details. The woman expresses delight and at the same time enjoys the process, she smiles shyly, her emotions are calm and peaceful. She blinks every few seconds Smooth and stable shooting. One artist climbs a wooden ladder to perfect her coral lipstick while others stand on platforms applying shimmer to her cheeks. Some mix pigments at small tables while others carefully place gold sparkles around her turquoise eyes. Every movement is smooth and synchronized, creating a seamless rhythm of teamwork and precision. Smooth, stable camera movement captures the intricate work. Ultra-detailed, 8K resolution.the camera rotates around the subject","A close-up of a beautiful woman's face with coral eyeshadow, defined eyebrows, and glossy lips, where miniature artists in white shirts and blue jeans work as makeuping girls face, move with precision, each one focused...",9:16,1080x1920,30.0,5s,"close, up, woman, face, eyeshadow, eyebrow, lip, artist"
clips/Bursting bioluminescent mushroom.mp4,"A colony of bioluminescent mushrooms suddenly explodes, releasing clouds of tiny glowing particles into the air. This triggers a chain reaction throughout the entire colony, causing all the mushrooms to burst and fill the scene with luminescent specks. As the particles settle, they aggregate on the ground, forming a thick layer of shimmering water approximately a quarter-meter high.","A colony of bioluminescent mushrooms suddenly explodes, releasing clouds of tiny glowing particles into the air. This triggers a chain reaction throughout the entire colony, causing all the mushrooms to burst and fill the scene...",34:59,1088x1888,30.0,10s,"colony, mushroom, cloud, particle, air, chain, reaction, scene"
clips/A girl in the snowy mountains.mp4,"Still shot. The woman in ski gear stands on a snowy mountain slope, remaining as still as possible. From the **2nd to the 4th second**, she quickly puckers her lips to send an air kiss, then immediately relaxes them. After that, she maintains a bright, cheerful smile and starts gently laughing for the rest of the video. Her facial expression changes smoothly and naturally, without exaggerated motion. The reflections on her goggles remain stable, and the lighting stays consistent. Natural and realistic motion.","Still shot. The woman in ski gear stands on a snowy mountain slope, remaining as still as possible. From the **2nd to the 4th second**, she quickly puckers her lips to send an air kiss,...",9:16,1080x1920,30.0,10s,"woman, gear, mountain, slope, *, 2nd, second, lip"
clips/cat barber.mp4,"smooth motion. Make the cat's paws subtly move as if it’s adjusting its grip on the grinder. Add small head tilts and blinking for realism. The sparks from the grinder should flicker and fly dynamically. The man's face should show slight movement, like natural breathing or subtle head tilts, but keep his joyful expression. Ensure smooth looped animation for a seamless effect",smooth motion. Make the cat's paws subtly move as if it’s adjusting its grip on the grinder. Add small head tilts and blinking for realism. The sparks from the grinder should flicker and fly dynamically....,9:16,1080x1920,30.0,5s,"motion, cat, paw, grip, grinder, head, tilt, realism"
clips/Chien sous l'eau.mp4,"Imagine a relaxing scene featuring a cute baby dog fullysubmerged in water, joyfully surrounded by sparkling bubbles. The imageshould be hyper-realistic, with a resolution close to 8K, capturing everydetail of the animal, the bubbles, and the water. Sunlight filters through thewater's surface, creating shimmering reflections and illuminating the animalwith a soft glow. The background is blurred to emphasize the animal, whiledelicate aquatic plants add a touch of nature to the scene.","Imagine a relaxing scene featuring a cute baby dog fullysubmerged in water, joyfully surrounded by sparkling bubbles. The imageshould be hyper-realistic, with a resolution close to 8K, capturing everydetail of the animal, the bubbles, and...",9:16,720x1280,30.0,10s,"scene, baby, dog, water, bubble, resolution, k, everydetail"
clips/A Tiny King's Grand Meal.mp4,"A group of tiny waiters, dressed in neat uniforms with little aprons, are working hard at a grand feast. One tiny waiter is carefully grilling a massive steak over an open flame, the sizzling meat releasing rich aromas. Another tiny waiter is using a sharp knife to slice perfectly cooked meat on a wooden board. The steak is so large that it dwarfs the tiny workers, requiring teamwork to handle. On the other side, away from the fire, a tiny king sits comfortably on a royal chair, wearing a golden crown and a luxurious robe. He eagerly watches as the waiters prepare his meal, his table set with golden plates and fine dining utensils. The scene is warm and lively, with glowing embers and a feast-like atmosphere.","A group of tiny waiters, dressed in neat uniforms with little aprons, are working hard at a grand feast. One tiny waiter is carefully grilling a massive steak over an open flame, the sizzling meat...",9:16,1080x1920,30.0,5s,"group, waiter, uniform, apron, feast, steak, flame, meat"
clips/Lord Vishnu flying in space.mp4,"Create a cinematic video depicting Lord Vishnu, with his four arms and serene expression, seated atop Garuda, the king of birds. They fly through a breathtaking cosmic landscape filled with swirling nebulae, distant galaxies, and shimmering stardust. Garuda's wings beat powerfully, creating a sense of motion and majesty. Vishnu's garments flow in the cosmic wind. The style should be a blend of traditional Indian art with a touch of cosmic surrealism, reminiscent of classic space art. Include slow-motion shots and dynamic camera angles to emphasize the scale and grandeur of the scene. The music should be epic and inspiring","Create a cinematic video depicting Lord Vishnu, with his four arms and serene expression, seated atop Garuda, the king of birds. They fly through a breathtaking cosmic landscape filled with swirling nebulae, distant galaxies, and...",9:16,1080x1920,30.0,5s,"video, lord, vishnu, arm, expression, garuda, king, bird"
clips/beautiful dancer with phoenix.mp4,"the woman is dancing chinese traditional dance. The phoenix glides and circles, its radiant feathers glowing in shades of red and gold, creating a breathtaking visual harmony with the dancer","the woman is dancing chinese traditional dance. The phoenix glides and circles, its radiant feathers glowing in shades of red and gold, creating a breathtaking visual harmony with the dancer",9:16,1080x1920,30.0,5s,"woman, dance, phoenix, glide, circle, feather, shade, red"
clips/Cozy Tales Train.mp4,add a motion in this image and add camera in the front and the train motion will show,add a motion in this image and add camera in the front and the train motion will show,22:39,704x1248,30.0,10s,"motion, image, camera, front, train"
clips/pink spaghetti strap top.mp4,"Her body rocks back and forth from left to right with a lively, energetic motion.","Her body rocks back and forth from left to right with a lively, energetic motion.",25:34,800x1088,30.0,5s,"body, right, motion"
clips/As light as air.mp4,"animates the imagethe woman runs at full speed on the clouds, the camera following her, remaining on the same axis as her, at the same distance in a dolly shot","animates the imagethe woman runs at full speed on the clouds, the camera following her, remaining on the same axis as her, at the same distance in a dolly shot",9:16,1080x1920,30.0,5s,"woman, speed, cloud, camera, axis, distance, shot"
clips/Miniature woman riding a parrot.mp4,"tracking shot of A miniature human in jungle attire turns to look forward, sits calmly on the back of a Parrot, gripping woven reins made from fine grass strands. The bird soars through the air with speed, its feathers ruffling in the wind, with its wings outstretched, while the rider’s scarf and hair flutters behind them. The close-up captures the bond between the tiny figure and their avian companion, the background blurred with soft greens and sky blues,","tracking shot of A miniature human in jungle attire turns to look forward, sits calmly on the back of a Parrot, gripping woven reins made from fine grass strands. The bird soars through the air...",37:54,1184x1728,30.0,5s,"tracking, shot, human, jungle, attire, back, parrot, rein"
clips/Metamorphosis.mp4,the screaming man turns into a lion,the screaming man turns into a lion,9:16,1080x1920,30.0,5s,"man, lion"
clips/Advertising hubcaps.mp4,"A dynamic video where the camera follows a sports car racing down a road during sunset. The wheels spin at high speed and the road blurs into dynamic lines. The sunlight reflects off the car's body, creating a striking contrast between the warm hues of the sunset and the cool blue tone of the road.",A dynamic video where the camera follows a sports car racing down a road during sunset. The wheels spin at high speed and the road blurs into dynamic lines. The sunlight reflects off the car's...,9:16,1080x1920,30.0,5s,"video, camera, sport, car, road, sunset, wheel, spin"
clips/Gothic babe.mp4,She very slowly smiles and looks at the viewer while she runs a hand through her hair. She looks very European.,She very slowly smiles and looks at the viewer while she runs a hand through her hair. She looks very European.,19:26,1216x1664,30.0,5s,"viewer, hand, hair"
clips/Flying on HaLong.mp4,"Create an unreal visual of a young Vietnamese girl in a red long dress with a golden star on her chest, flying gracefully over the breathtaking scenery of Halong Bay. Use dynamic camera angles to emphasize her elegance and the bay’s majestic beauty:360-degree rotation shot: Camera spirals around her as she flies, capturing her against limestone karsts. First-person POV: View from her shoulder, seeing the scenery rush by as she glides through the sky. Worm’s eye view: Look up from the water, seeing her soar in contrast with the vast sky and bay.Slow-motion close-up: Focus on her hand through clouds, zooming out to reveal Hạ Long Bay.Time-lapse sky pan: Stationary camera shows her slow flight, with fast-moving clouds.Tilted aerial shot: A sharp downward angle captures her small figure flying against the vast limestone pillars.""","Create an unreal visual of a young Vietnamese girl in a red long dress with a golden star on her chest, flying gracefully over the breathtaking scenery of Halong Bay. Use dynamic camera angles to...",9:16,1080x1920,30.0,10s,"visual, girl, dress, star, chest, scenery, halong, bay"
clips/Cute bunny with a bouquet of flo.mp4,A bunny walks through a clearing with a bouquet of wildflowers and holds out the bouquet towards the camera,A bunny walks through a clearing with a bouquet of wildflowers and holds out the bouquet towards the camera,9:16,1080x1920,30.0,5s,"bunny, clearing, bouquet, wildflower, camera"
clips/Teacher walks slowly.mp4,"A teacher walks slowly towards the camera with natural and realistic motion. Their steps are steady and deliberate, with slight arm movement matching the walking rhythm. As they get closer, their facial expression transitions smoothly into a warm, genuine smile. After a brief pause, the teacher leans slightly forward towards the camera in a friendly, engaging manner, creating a sense of closeness and connection. The upper body subtly shifts forward during the lean, with slight head tilt and natural eye focus towards the lens.","A teacher walks slowly towards the camera with natural and realistic motion. Their steps are steady and deliberate, with slight arm movement matching the walking rhythm. As they get closer, their facial expression transitions smoothly...",36:55,1152x1760,30.0,5s,"teacher, camera, motion, step, arm, movement, rhythm, expression"
clips/The girl in the apple orchard.mp4,"The girl turns to the left, lifts a bit her head, opens her eyes and smiles. dynamic scene in the background you can see how the wind slightly ripples apples. static camera","The girl turns to the left, lifts a bit her head, opens her eyes and smiles. dynamic scene in the background you can see how the wind slightly ripples apples. static camera",34:59,1088x1888,30.0,5s,"girl, left, bit, head, eye, smile, scene, background"
clips/Кузнечик.mp4,"Cute Grasshopper in the grass and flowers, playing a bow on his violin. A light breeze blows the grass. Grasshopper smiles.","Cute Grasshopper in the grass and flowers, playing a bow on his violin. A light breeze blows the grass. Grasshopper smiles.",9:16,720x1280,30.0,5s,"grasshopper, grass, flower, bow, violin, breeze, smile"
clips/Roaring waterfall.mp4,"POV helmet camera shot of a Harley-Davidson Iron 883 rider descending a fractured walkway carved into a sheer cliff, with a roaring waterfall pounding the rocks below.","POV helmet camera shot of a Harley-Davidson Iron 883 rider descending a fractured walkway carved into a sheer cliff, with a roaring waterfall pounding the rocks below.",9:16,1080x1920,30.0,5s,"pov, helmet, camera, shot, harley, davidson, iron, rider"
clips/3 cats dancing.mp4,"A looping animation of three adorable cats standing on their hind legs, dancing in a playful and funny manner. The chubby orange cat in the center leads the dance, moving its paws up and down with excitement. The gray cat on the left and the white cat on the right follow along, swaying side to side and bouncing slightly, as if they are grooving to upbeat music.Their faces are expressive, with joyful and excited emotions. Their fur is soft and fluffy, highly detailed with realistic textures. The background is a cozy indoor setting with warm lighting, wooden floors, and soft ambient decorations, including a glowing lamp and green plants.The animation captures smooth and natural movements, as the cats appear to hop and groove in sync, creating a lively and humorous atmosphere. The scene is well-lit with warm, inviting tones, making it feel like a cheerful and fun moment","A looping animation of three adorable cats standing on their hind legs, dancing in a playful and funny manner. The chubby orange cat in the center leads the dance, moving its paws up and down...",22:39,704x1248,30.0,5s,"animation, cat, hind, leg, manner, chubby, orange, center"
clips/A teenager with a butterfly.mp4,"9:16 FormatCreate a cinematic video of a serene young woman sitting on a park bench surrounded by vibrant flowers. A butterfly gently lands on her outstretched hand, its wings fluttering slowly. The sunlight filters through the trees, casting soft, golden rays across the scene. Subtle movements of flowers and natural elements enhance the peaceful and magical mood.","9:16 FormatCreate a cinematic video of a serene young woman sitting on a park bench surrounded by vibrant flowers. A butterfly gently lands on her outstretched hand, its wings fluttering slowly. The sunlight filters through...",9:16,1080x1920,30.0,5s,"formatcreate, video, woman, park, bench, flower, butterfly, hand"
clips/TODESRITTER.mp4,"Todesritter mit menschlichen ZügenDunkle, verzierte Rüstung mit glühenden mystischen RunenEine massive, dunkle Waffe (Schwert oder Axt) wird geführtAus der Waffe wird ein Feuerball gezaubert, umgeben von Flammen und magischer EnergieKraftvolle, unheimliche Ausstrahlung, die Dominanz und Magie vereintUmgebung:Brennende Landschaft mit Lavaflüssen und brodelnden KraternBlitze zerreißen den düsteren, rußigen HimmelRauch und Asche treiben in der Luft, Funken tanzen um den RitterFeurige Lichter reflektieren auf der glänzenden, dunklen RüstungDynamische Energie, als würde die Welt vor Hitze und Magie pulsierenAtmosphäre:Episch, bedrohlich und majestätischMagie, Feuer und Chaos verbinden sich zu einer apokalyptischen KulisseDer Feuerball wirkt wie ein lebendiges Wesen, das gleich entfesselt wird","Todesritter mit menschlichen ZügenDunkle, verzierte Rüstung mit glühenden mystischen RunenEine massive, dunkle Waffe (Schwert oder Axt) wird geführtAus der Waffe wird ein Feuerball gezaubert, umgeben von Flammen und magischer EnergieKraftvolle, unheimliche Ausstrahlung, die Dominanz und...",9:16,1080x1920,30.0,10s,"todesritter, zügendunkle, verzierte, rüstung, glühenden, mystischen, runeneine, dunkle"
clips/Racing Car.mp4,"A high-performance yellow supercar is showcased in the heart of a bustling city. The camera captures the sleek vehicle from a low angle, emphasizing its aerodynamic design and aggressive stance. TThe background is composed of high-rise buildings, creating an urban atmosphere. The scene starts with a slow pan around the car, highlighting its glossy surface, racing decals, and large rear spoiler. As the engine roars to life, the car accelerates down the city streets, dynamic reflections on the pavement. The lighting accentuates the contours of the vehicle, with warm golden hues reflecting off the glass buildings. The background is clear daylight.The overall tone is Warm,cinematic, modern, and exhilarating, with a high-speed chase or a stylish city drive atmosphere,positioned at a Long Shot","A high-performance yellow supercar is showcased in the heart of a bustling city. The camera captures the sleek vehicle from a low angle, emphasizing its aerodynamic design and aggressive stance. TThe background is composed of...",9:16,1080x1920,30.0,10s,"performance, supercar, heart, city, camera, vehicle, angle, design"
clips/Tiny Chefs Making Coffee.mp4,"A hyper-realistic miniature scene featuring tiny chefs crafting an exquisite cup of coffee. They are dressed in traditional white chef uniforms with tiny aprons and tall chef hats, their outfits slightly dusted with coffee grounds and cocoa powder. Some workers are standing on ladders, carefully adding ingredients. One chef, balancing on a ladder, is delicately sprinkling sugar into the cup using a tiny spoon, while another, also on a ladder, is pouring milk from a small wooden bucket, creating a smooth swirl in the coffee. A shiny coffee cup sits on a saucer dusted with cocoa powder, surrounded by scattered coffee beans and a small spoon. The background is softly blurred with a warm, cozy café ambiance.","A hyper-realistic miniature scene featuring tiny chefs crafting an exquisite cup of coffee. They are dressed in traditional white chef uniforms with tiny aprons and tall chef hats, their outfits slightly dusted with coffee grounds...",9:16,1080x1920,30.0,10s,"scene, chef, cup, coffee, uniform, apron, hat, outfits"
clips/Egg.mp4,The little men are doing their job,The little men are doing their job,9:16,720x1280,30.0,5s,"man, job"
clips/Dancing Flame 2.mp4,"Fast movement. Create an animation where a fiery female figure, sculpted entirely of flames, stands gracefully on a plate in a warm, dimly lit setting, she should dance around fast. The flame should dance and flicker, giving the impression of a lively, ethereal performance. Her hair flows like tendrils of fire, moving gently, while her body flickers and pulses with energy, almost as if alive. The camera should remain still to capture the scene steadily, but the flame movements should be dynamic and organic, with occasional sparks and tendrils of flame reaching outwards. The lighting around should enhance the warm glow, casting subtle reflections on the table.","Fast movement. Create an animation where a fiery female figure, sculpted entirely of flames, stands gracefully on a plate in a warm, dimly lit setting, she should dance around fast. The flame should dance and...",9:16,1080x1920,30.0,10s,"movement, animation, figure, flame, plate, setting, impression, performance"
clips/Cute asian model.mp4,"Model shiny smiles slowly with mouth closed, looking at camera and making a nice expression. Smooth and stable shooting.","Model shiny smiles slowly with mouth closed, looking at camera and making a nice expression. Smooth and stable shooting.",33:59,1056x1888,30.0,5s,"mouth, camera, expression, shooting"
clips/mirror selfie.mp4,"The woman turned her hips than walks to viewer, natural movements, keep her selfie, focus on outfit,","The woman turned her hips than walks to viewer, natural movements, keep her selfie, focus on outfit,",22:39,704x1248,30.0,5s,"woman, hip, walk, movement, selfie, outfit"
clips/Miniature Workers Making Baklava.mp4,"A group of tiny, highly detailed miniature workers preparing traditional baklava and syrupy Turkish desserts on a massive wooden kitchen counter. Some workers are layering delicate, paper-thin phyllo dough, while others are carefully brushing melted butter onto the layers. A few are pouring golden syrup over freshly baked baklava, while others are using tiny rollers to shape tulumba and şekerpare. One worker is carrying a small tray of steaming hot syrup, while another is using a miniature fan to cool the desserts. The scene is rich in warm, golden tones, with soft lighting reflecting off the glistening syrup. Ultra-realistic, macro photography style, cinematic lighting, depth of field effect.","A group of tiny, highly detailed miniature workers preparing traditional baklava and syrupy Turkish desserts on a massive wooden kitchen counter. Some workers are layering delicate, paper-thin phyllo dough, while others are carefully brushing melted...",22:39,704x1248,30.0,10s,"group, worker, baklava, dessert, kitchen, counter, paper, phyllo"
clips/Ancient feminine.mp4,"Make her walk in a beautiful and feminine way towards the camera, while her dress and her hair is moving from a small breeze.","Make her walk in a beautiful and feminine way towards the camera, while her dress and her hair is moving from a small breeze.",9:16,1080x1920,30.0,5s,"way, camera, dress, hair, breeze"
clips/Scent of the season.mp4,the flowers are falling on perfume while camera slowly rolls right,the flowers are falling on perfume while camera slowly rolls right,13:17,1248x1632,30.0,5s,"flower, perfume, camera"
clips/exploding.mp4,"(A super fat, big-bellied pug that always has a goofy, clueless expression), proud expression, tilting the ladle, pouring broth into the bowl, (steam rising gracefully, tiny ripples forming in the bowl, flickering shadows from the fire)","(A super fat, big-bellied pug that always has a goofy, clueless expression), proud expression, tilting the ladle, pouring broth into the bowl, (steam rising gracefully, tiny ripples forming in the bowl, flickering shadows from the...",34:59,1088x1888,30.0,5s,"pug, expression, ladle, broth, bowl, steam, ripple, shadow"
clips/giant tarte for tiny workers.mp4,"Professional food photography of a lemon tart with tiny construction workers building it. Camera slowly zooms in on workers performing specific tasks: placing thin lemon slices in circular pattern, dusting powdered sugar with miniature tools, carrying lemon zest in tiny wheelbarrows, and measuring perfect spacing with tape measures. Workers in orange and blue uniforms with safety vests collaborate purposefully. Golden sunlight streams through window blinds, creating warm highlights on the glossy tart surface. Tilt-shift effect keeps workers in sharp focus while background elements gradually blur as camera moves closer. Yellow gingham cloth and scattered lemons on wooden surface frame the scene.","Professional food photography of a lemon tart with tiny construction workers building it. Camera slowly zooms in on workers performing specific tasks: placing thin lemon slices in circular pattern, dusting powdered sugar with miniature tools,...",9:16,1080x1920,30.0,5s,"food, photography, lemon, tart, construction, worker, camera, task"
clips/sand.mp4,sand is blowing across the desert,sand is blowing across the desert,34:59,1088x1888,30.0,5s,"sand, desert"
clips/Blonde Girl Smiling.mp4,girl smiling and flirting,girl smiling and flirting,13:17,1248x1632,30.0,5s,girl
clips/A day in mountain snow.mp4,"A stunning blonde woman with windswept hair stands confidently on a sunlit, snow-covered mountain peak, her toned, statuesque physique accentuated by a sleek white bikini top and matching winter gear. With a radiant smile, she slowly unzips her windbreaker and slips it off her shoulders, revealing her sculpted form with effortless poise. A gentle breeze lifts strands of her flowing hair, adding to the aura of confidence and allure. The backdrop features majestic snow-capped mountains fading into the distance under a crisp blue sky. The camera smoothly orbits left around her, capturing her beauty from multiple angles as she basks in the sunlight, exuding power and grace against the breathtaking alpine landscape","A stunning blonde woman with windswept hair stands confidently on a sunlit, snow-covered mountain peak, her toned, statuesque physique accentuated by a sleek white bikini top and matching winter gear. With a radiant smile, she...",38:51,1216x1632,30.0,10s,"woman, hair, snow, mountain, peak, physique, bikini, top"
clips/High-fashion stylish asian model.mp4,"The model turns toward the camera and starts poses dynamically and professional like a Paris fashion week model, she has a confident and relaxed look, she blinks every few seconds, the camera zooms on the model's face. 8K resolution, very very detailed and crisp. Correct movement anatomy","The model turns toward the camera and starts poses dynamically and professional like a Paris fashion week model, she has a confident and relaxed look, she blinks every few seconds, the camera zooms on the...",33:59,1056x1888,30.0,10s,"model, camera, paris, fashion, week, look, second, zoom"
